epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,94.6738,0.64675,1.00451,0.93844,0.95961,0.65158,0.995,0.77518,0.77011,1.82262,0.95362,0.000627152,0.000627152,0.000627152
84,95.8456,0.68335,0.87859,0.93205,0.9549,0.75221,0.995,0.80383,0.77983,1.67694,0.95448,0.000625668,0.000625668,0.000625668
85,96.9235,0.65243,1.03191,0.95183,0.9549,0.75221,0.995,0.80383,0.77983,1.67694,0.95448,0.000623965,0.000623965,0.000623965
86,98.0336,0.54862,0.79929,0.88318,0.9549,0.75221,0.995,0.80383,0.77983,1.67694,0.95448,0.000622041,0.000622041,0.000622041
87,99.142,0.58689,0.86849,0.94188,0.9549,0.75221,0.995,0.80383,0.77983,1.67694,0.95448,0.000619897,0.000619897,0.000619897
88,100.267,0.71229,1.0832,1.08901,0.95461,0.78977,0.995,0.80429,0.80945,1.53295,0.95912,0.000617533,0.000617533,0.000617533
89,101.315,0.75368,0.91986,1.00559,0.95461,0.78977,0.995,0.80429,0.80945,1.53295,0.95912,0.00061495,0.00061495,0.00061495
90,102.564,0.65294,0.81719,0.98248,0.95461,0.78977,0.995,0.80429,0.80945,1.53295,0.95912,0.000612146,0.000612146,0.000612146
91,104.465,0.70804,0.82556,0.84741,0.95461,0.78977,0.995,0.80429,0.80945,1.53295,0.95912,0.000609122,0.000609122,0.000609122
92,106.385,0.66397,0.79501,1.00607,0.93068,1,0.995,0.78169,0.8029,1.39776,0.96048,0.000605878,0.000605878,0.000605878
93,108.301,0.5973,0.79127,0.94534,0.93068,1,0.995,0.78169,0.8029,1.39776,0.96048,0.000602414,0.000602414,0.000602414
94,110.17,0.64221,0.82925,0.93555,0.93068,1,0.995,0.78169,0.8029,1.39776,0.96048,0.00059873,0.00059873,0.00059873
95,112.031,0.53155,0.81272,0.93214,0.93068,1,0.995,0.78169,0.8029,1.39776,0.96048,0.000594826,0.000594826,0.000594826
